id,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,(I Can't Get No) Satisfaction - The Rolling Stones - 1.wav,135.9991776,47722,681.7428571,0.443219662,0.292436361,0.085519023,0.468349672,0.287362458,0.082577182,0.2510974,0.142419904,0.020283429,5.44018507,38.31281662,1467.871948,1.908441067,34.29114914,1175.882935,0.020868396,3.047669411,9.28828907,2469.709416,697.7935817,486915.8827,2270.698898,483.0262679,233314.3755,20.85120205,7.112090147,50.58182626,20.85120205,7.112090147,50.58182626,2.023840311,2.319190871,5.378646295,0.00732114,0.075994411,0.005775151,0.112453757,0.059866733,0.003584026,2.29E-06,0.131149918,0.017200302,6.33E-06,0.068288043,0.004663257,2.87230839,1.373104513,1.885416005
2,(I Can't Get No) Satisfaction - The Rolling Stones - 2.wav,135.9991776,48845,678.4027778,0.455505669,0.289184302,0.083627567,0.476804705,0.287054693,0.082400397,0.252978063,0.139051908,0.019335433,5.132336617,32.48232269,1055.101196,2.623063564,27.85254288,775.7640991,-0.003958629,2.800811052,7.844542027,2599.9892,556.6867461,309900.1333,2379.849994,314.9988546,99224.27841,20.16209719,6.98187167,48.74653202,20.16209719,6.98187167,48.74653202,2.123484395,2.424990285,5.880577881,0.006238794,0.071451551,0.005105324,0.120052036,0.051574161,0.002659894,-2.30E-06,0.121693783,0.014809377,1.57E-06,0.073411398,0.005389234,2.378884354,1.557528978,2.425896516
3,(I Can't Get No) Satisfaction - The Rolling Stones - 3.wav,135.9991776,47809,673.3661972,0.442605615,0.288104892,0.083004422,0.486172162,0.282281221,0.079682688,0.256625139,0.132200118,0.017476871,5.537158012,34.6163826,1198.293945,3.040706873,27.7740593,771.3983765,0.01207642,2.69305563,7.252549171,2577.525855,634.4491654,402525.7434,2438.063676,332.1815407,110344.576,19.9456415,7.056892737,49.7997351,19.9456415,7.056892737,49.7997351,2.189096916,2.489876142,6.199483201,0.010554249,0.069747703,0.004864742,0.118484862,0.059306019,0.003517204,-1.45E-06,0.123557687,0.015266502,4.35E-06,0.078098744,0.006099414,2.79568254,1.524216261,2.32323521
4,(I Can't Get No) Satisfaction - The Rolling Stones - 4.wav,135.9991776,46796,668.5142857,0.463813424,0.285483301,0.081500709,0.49740524,0.289463056,0.083788861,0.255977783,0.133449271,0.017808708,5.333527565,33.67695236,1134.137207,2.736684799,26.74375153,715.2282104,0.001913561,2.655552387,7.051959038,2679.471065,541.968111,293729.4334,2495.192788,281.9031136,79469.36543,20.01096689,7.272975658,52.89617492,20.01096689,7.272975658,52.89617492,2.09484005,2.422851449,5.870209143,0.0065042,0.069595123,0.004843481,0.122048713,0.05824494,0.003392473,-6.11E-06,0.12145932,0.014752367,-6.00E-06,0.076870963,0.005909145,3.354122449,1.75628644,3.084542061
5,(I Can't Get No) Satisfaction - The Rolling Stones - 5.wav,135.9991776,48840,687.8873239,0.455169588,0.288934499,0.083483137,0.478886984,0.284125227,0.080727145,0.255342668,0.134660519,0.018133455,5.691577435,37.44610977,1402.21106,3.333193779,27.82988167,774.5023193,-0.004283076,2.722425222,7.411599159,2568.662332,566.2811051,320674.29,2497.406956,291.358576,84889.8198,19.94384108,7.095972741,50.35282915,19.94384108,7.095972741,50.35282915,2.0945101,2.416944283,5.841619665,0.008257903,0.072265587,0.005222315,0.10733477,0.052578249,0.002764472,-2.84E-06,0.12431746,0.015454831,4.36E-06,0.077847555,0.006060242,2.46247619,1.38958334,1.930941859
6,(I Can't Get No) Satisfaction - The Rolling Stones - 6.wav,135.9991776,45468,658.9565217,0.467276543,0.287321121,0.082553431,0.486733225,0.290708202,0.084511259,0.253903787,0.137354288,0.018866201,5.493247986,34.65922928,1201.262207,2.995040655,27.28898239,744.6885986,-0.000446877,2.700452805,7.29244566,2655.337767,578.6365624,334820.2714,2487.818686,307.4804382,94544.21986,20.08553902,7.306165988,53.38006144,20.08553902,7.306165988,53.38006144,2.066871417,2.377787458,5.653873197,0.007611217,0.073434475,0.005392622,0.117989853,0.057747649,0.003334791,-1.02E-05,0.124324322,0.015456538,8.66E-06,0.077043824,0.005935751,2.339410431,1.340957407,1.798166767
7,(I Can't Get No) Satisfaction - The Rolling Stones - 7.wav,135.9991776,23797,475.94,0.455131888,0.304979563,0.093012542,0.457794068,0.303611269,0.092179803,0.242600616,0.139884563,0.019567691,2.606268644,20.4375515,417.6934814,-4.289208889,65.78425598,4327.568359,-0.03075088,2.500334263,6.251671791,2564.098701,1006.883135,1013813.648,2299.086922,787.8038331,620634.8795,18.59621137,7.540494995,56.85906477,18.59621137,7.540494995,56.85906477,1.243037165,1.975576372,3.902902001,0.007447936,0.067017333,0.004491323,0.121634853,0.087833998,0.007714811,-2.95E-06,0.08153908,0.006648622,-9.89E-06,0.059298761,0.003516343,2.641269841,1.300086795,1.690225675
8,15 Step - Radiohead - 1.wav,184.5703125,67971,679.71,0.500069797,0.322352737,0.103911281,0.550603411,0.279472811,0.078105052,0.267127723,0.109435427,0.011976113,7.926278591,99.50582886,9901.410156,1.160271764,40.86116028,1669.634277,0.003891594,4.289065361,18.39608192,2591.815473,1043.392748,1088668.426,2807.457654,540.9223981,292597.0407,18.05772073,7.001095974,49.01534484,18.05772073,7.001095974,49.01534484,1.532386544,2.061107916,4.248165842,0.005377311,0.061158144,0.003740319,0.100205652,0.080217782,0.006434892,2.34E-05,0.133583739,0.017844616,-3.09E-05,0.096307874,0.009275206,1.763555556,1.087984969,1.183711292
9,15 Step - Radiohead - 2.wav,123.046875,43325,687.6984127,0.358364671,0.305521339,0.09334328,0.50610603,0.278064349,0.077319782,0.258966246,0.127553191,0.016269817,13.9159832,106.5539627,11353.74707,4.209543705,37.96479034,1441.325195,-0.003471675,4.207790375,17.70549965,2131.665101,1002.20668,1004418.23,2616.701675,633.1518258,400881.2345,19.28158999,6.366751248,40.53552146,19.28158999,6.366751248,40.53552146,2.316153464,2.742742661,7.522637306,0.002783664,0.069733062,0.0048627,0.063841977,0.049684609,0.00246856,3.86E-05,0.176568732,0.031176517,-0.000280797,0.120564155,0.014535716,1.81231746,1.031511694,1.064016375
10,15 Step - Radiohead - 3.wav,123.046875,43066,672.90625,0.418248743,0.280170918,0.078495741,0.538466912,0.256211957,0.065644567,0.268074421,0.107095462,0.011469438,21.08390808,114.0414658,13005.45605,7.612271309,29.35348701,861.6271973,0.009909629,2.520850658,6.354687691,2011.964124,771.5640195,595311.0362,2552.609135,486.5821652,236762.2035,19.22974973,6.010568118,36.1269291,19.22974973,6.010568118,36.1269291,3.490282599,3.735538578,13.95424846,-0.0001768,0.060525023,0.003663278,0.064891835,0.03722315,0.001385563,-2.16E-05,0.223801166,0.05008696,-0.000599217,0.121973842,0.014877618,1.681124717,0.975249152,0.951110909
